caseid,age,if_discrim,if_cyber_bullying,if_drugs,if_drink,if_school_attandence,if_mental_healthy,working_hour_weekly,number_relative_friends
308,2,0,NA,0,6,0,2,37.5,NA
309,7,0,NA,0,2,0,1,NA,8
310,2,0,NA,0,4,1,3,NA,5
311,2,1,NA,0,7,0,3,50,15
312,6,0,NA,0,7,1,3,NA,12
313,4,0,NA,0,6,0,1,60,20
314,4,0,NA,0,5,0,2,24,20
315,3,0,NA,0,4,0,1,40,5
316,4,1,NA,0,3,0,1,50,5
317,4,0,NA,0,5,0,1,40,0
318,5,0,NA,0,7,0,3,NA,25
319,6,0,NA,0,5,0,1,NA,4
320,4,1,NA,0,7,0,3,40,4
321,3,0,NA,0,3,0,2,55,10
322,3,0,NA,0,7,0,1,NA,5
323,1,0,NA,0,3,0,2,45,7
324,2,0,1,0,3,0,1,41.5,24
325,3,1,NA,0,6,0,1,40,5
326,3,0,NA,0,5,0,3,20,3
327,7,1,NA,0,1,0,4,NA,NA
328,6,0,NA,0,3,0,3,NA,100
329,6,0,NA,0,4,0,2,NA,9
330,1,0,NA,0,6,1,1,NA,10
331,7,0,NA,0,7,0,2,NA,11
332,1,0,NA,0,7,1,1,NA,5
333,2,0,NA,0,3,0,2,37,10
334,6,0,NA,0,1,0,2,NA,15
335,1,0,0,0,7,1,2,NA,10
336,1,1,NA,0,5,1,3,NA,20
337,6,1,0,0,3,0,4,20,43
338,4,0,NA,0,4,0,2,65,5
339,6,0,NA,0,7,0,3,NA,4
340,5,0,1,0,1,0,3,25,20
341,5,0,NA,0,7,0,2,37.5,20
342,5,0,NA,0,5,0,1,30,10
343,4,0,NA,0,4,0,4,30,2
344,6,0,NA,0,7,0,2,NA,10
345,2,0,NA,0,4,0,2,30,5
346,1,1,NA,0,6,NA,NA,NA,NA
347,4,0,NA,0,3,0,1,35,8
348,4,0,NA,0,7,0,2,8,1
349,6,0,NA,0,5,0,2,NA,10
350,1,1,NA,0,7,1,2,40,20
351,3,0,NA,0,7,0,1,60,20
352,2,0,NA,0,4,0,2,50,12
353,2,0,NA,0,5,0,3,12.5,10
354,3,0,NA,0,6,0,2,35,12
355,3,0,NA,0,4,0,2,45,10
356,6,0,NA,0,7,0,3,NA,15
357,4,0,NA,0,5,0,1,35,6
358,4,0,NA,0,3,0,3,NA,10
359,5,0,NA,0,5,0,3,40,10
360,6,0,NA,0,4,0,1,NA,4
361,5,0,NA,0,3,0,3,NA,15
362,6,0,NA,0,6,0,4,NA,3
